870 2774
820 41 901
358 224 537
426 775 286
863 168 426
693 664 401
695 376 306
668 845 509
589 806 812
390 606 321
366 496 335
863 868 339
168 777 208
64 99 157
443 13 976
726 773 239
268 692 968
491 612 759
703 152 174
294 362 520
188 688 440
260 836 455
628 770 762
549 794 634
135 832 907
786 464 931
762 684 817
734 865 847
259 448 100
589 332 784
401 322 191
113 63 527
403 366 557
119 756 546
379 295 312
167 324 247
500 773 202
39 452 320
572 733 159
194 116 601
480 214 515
595 779 760
243 869 811
503 738 369
318 597 546
574 616 11
6 182 5
454 481 649
744 511 836
24 97 852
143 701 710
811 469 355
371 683 566
25 856 684
582 305 647
539 716 580
137 646 131
504 173 930
593 457 699
729 226 353
520 551 953
765 287 795
733 287 214
511 724 903
104 310 457
592 174 167
225 594 408
810 747 939
408 176 243
138 229 683
104 616 216
74 23 240
349 663 201
225 655 182
579 276 725
633 641 894
190 410 981
754 390 990
722 427 887
27 213 669
140 730 664
431 663 659
426 578 48
306 33 164
208 305 613
754 48 361
147 228 255
832 843 624
756 109 432
572 486 522
405 681 631
93 644 356
729 362 589
363 806 372
862 506 801
28 760 124
428 650 979
847 707 632
167 794 982
810 85 421
310 457 919
716 605 684
33 184 721
738 835 883
153 465 707
361 225 95
193 75 610
36 562 454
197 835 94
345 595 429
53 588 47
197 585 439
46 644 792
77 375 435
42 376 759
583 868 655
724 41 704
521 853 941
200 414 66
665 411 535
183 653 392
421 450 570
148 61 990
221 338 908
704 403 93
108 660 338
488 552 827
488 853 645
284 834 347
428 158 670
556 292 435
44 470 571
227 121 841
20 417 728
59 266 113
310 529 272
757 751 353
788 52 192
671 341 377
457 380 34
693 349 420
844 390 12
270 807 114
387 303 80
656 832 4
299 578 58
713 388 819
236 620 12
22 24 620
523 220 784
113 265 51
334 650 909
234 582 917
494 84 480
214 669 917
12 320 673
718 67 795
789 139 943
511 393 654
653 862 718
577 645 625
268 288 433
360 42 728
319 24 515
852 685 8
311 536 918
198 162 304
517 221 869
10 77 697
675 367 235
521 689 349
131 624 83
573 833 194
821 805 490
321 851 231
113 379 618
681 862 86
856 798 2
459 477 686
641 145 994
671 268 650
187 786 534
837 32 799
96 593 512
200 702 11
842 76 644
93 482 946
327 490 99
773 593 884
791 215 424
763 700 130
123 44 703
772 732 149
453 88 588
427 404 819
814 98 894
714 269 693
763 229 86
219 748 975
320 423 247
522 320 786
166 239 426
692 80 16
558 206 913
40 78 309
690 128 427
749 424 850
360 829 109
613 524 130
114 22 986
58 414 341
187 627 812
246 208 463
526 170 217
239 566 291
38 10 295
710 259 157
618 356 98
265 805 607
472 765 413
417 451 31
458 698 248
436 458 231
357 205 122
175 620 630
603 9 919
382 566 796
539 277 352
249 124 652
592 197 878
610 591 975
773 723 523
742 145 96
777 56 869
754 469 908
297 618 577
742 620 786
440 251 524
138 815 783
816 699 507
396 681 885
286 81 753
554 753 987
393 425 717
817 610 882
762 157 409
249 312 395
693 718 384
558 122 190
113 583 340
89 802 60
837 338 828
772 264 130
376 792 870
175 170 293
101 752 587
816 332 353
656 518 468
532 449 554
870 599 792
675 148 392
296 702 140
655 169 643
73 477 324
742 769 596
288 209 733
575 285 27
466 624 683
706 676 194
499 763 667
495 291 983
846 571 671
658 196 807
124 508 227
456 690 649
399 785 323
584 682 898
759 740 234
60 525 604
582 79 958
173 759 840
31 367 804
860 473 566
496 12 375
60 741 665
475 366 430
175 820 687
699 281 482
320 717 682
744 400 851
424 590 366
816 616 428
213 138 753
629 749 308
273 46 781
709 325 996
728 714 618
564 18 669
398 23 447
259 680 81
459 175 449
51 674 67
560 173 332
290 852 980
802 544 756
459 553 63
708 222 302
24 342 25
290 407 27
238 620 119
26 459 157
639 852 991
88 714 926
679 680 263
760 504 822
447 793 512
571 642 666
143 76 946
637 535 988
836 58 137
659 164 513
15 143 987
106 369 744
402 483 768
859 760 602
739 557 436
691 77 123
279 20 53
750 757 681
848 351 368
160 260 870
704 551 743
438 387 651
67 219 765
599 102 518
448 49 81
831 50 465
763 185 924
71 533 845
202 24 898
239 340 864
518 132 662
81 496 621
77 34 920
455 617 428
547 315 617
626 196 878
648 350 967
26 355 258
142 37 178
740 449 964
407 360 291
352 571 967
570 804 738
128 712 503
438 455 90
533 339 442
382 817 637
239 614 1000
60 712 983
286 362 788
785 699 450
92 294 61
482 594 368
96 702 876
756 429 120
852 208 230
188 229 147
222 464 628
198 554 669
11 783 98
545 565 851
409 464 664
44 257 641
88 507 568
677 90 597
222 295 106
795 635 413
507 823 332
793 803 352
358 142 232
647 713 513
281 765 993
716 663 768
33 424 867
59 503 735
299 360 809
361 392 414
314 7 524
526 699 838
400 146 880
456 574 562
147 343 625
591 295 65
560 339 889
792 220 570
818 51 181
398 472 200
803 126 408
426 312 384
714 400 958
421 468 940
248 726 360
371 637 348
795 331 415
789 497 765
208 32 552
695 390 892
185 285 688
69 712 517
652 666 747
582 45 292
210 400 44
34 750 20
538 741 586
335 530 941
84 462 745
61 225 954
125 371 245
262 793 40
676 277 627
67 334 782
865 411 749
276 526 892
574 588 702
37 661 283
265 200 370
101 652 844
103 395 817
291 225 436
653 645 848
398 359 139
865 805 707
564 55 366
426 343 413
308 706 878
651 674 445
454 206 365
397 550 859
784 317 981
46 25 850
151 236 918
74 691 268
679 599 13
708 209 710
569 697 842
93 27 985
409 87 453
758 386 147
46 841 72
190 315 399
212 234 138
384 348 6
394 551 627
808 385 193
460 367 714
210 270 971
637 321 273
4 238 216
345 220 323
637 717 650
450 593 796
610 680 85
161 480 20
252 13 867
709 836 360
44 792 914
647 14 634
480 791 581
383 258 696
275 547 356
847 367 863
767 675 520
495 775 181
164 13 225
110 21 678
138 793 105
867 484 206
639 710 569
685 487 762
255 844 824
822 369 806
289 693 238
132 828 77
255 272 57
709 803 649
459 639 816
287 196 289
149 365 321
776 398 406
358 720 286
390 499 20
79 686 896
390 328 297
870 310 228
30 734 647
695 120 124
785 165 133
257 432 30
500 311 919
704 562 330
733 659 58
513 868 982
483 132 439
110 663 639
257 640 584
32 610 247
433 42 161
235 845 667
652 263 439
461 555 19
238 338 664
499 217 505
373 308 856
307 85 658
853 416 158
553 147 464
546 444 645
431 16 799
336 306 656
352 842 401
149 479 208
155 848 38
154 637 783
591 141 260
355 69 933
493 610 593
167 612 261
85 313 367
302 754 24
718 558 919
641 4 740
785 82 21
53 786 726
143 811 948
460 825 81
158 701 639
167 715 175
141 674 941
182 133 657
540 860 569
692 459 394
649 344 529
251 366 145
545 246 722
135 278 288
82 630 876
274 624 797
103 303 54
615 139 825
155 400 400
205 420 759
461 621 276
776 748 864
545 834 890
584 443 387
608 787 333
844 427 115
242 712 73
416 854 549
478 206 157
729 497 716
870 700 551
817 748 225
426 302 806
150 175 108
428 751 237
811 786 522
313 84 571
680 738 469
257 446 775
834 526 82
451 99 414
235 821 845
621 152 813
750 92 839
464 7 186
551 618 306
317 521 54
720 579 666
870 663 898
518 531 301
855 856 488
726 177 795
275 838 507
499 368 420
320 306 539
405 627 148
625 852 911
711 99 517
688 345 38
178 354 220
183 754 604
219 866 651
382 520 321
728 563 679
328 778 750
637 547 974
747 709 58
13 675 413
515 560 473
861 285 484
284 133 120
194 232 456
594 780 916
384 649 490
27 566 156
715 241 850
600 829 16
543 58 63
239 31 849
761 319 756
418 383 130
110 3 343
645 167 870
36 567 72
385 782 709
709 214 815
813 491 7
713 226 266
6 292 45
287 599 902
768 585 653
35 131 469
811 398 996
50 851 187
136 789 609
630 136 412
539 695 886
502 619 944
622 811 399
269 434 627
406 3 268
768 270 439
771 206 87
671 624 321
761 398 486
762 745 296
123 408 493
569 456 110
113 174 495
787 812 546
403 470 864
479 557 399
867 62 513
481 621 35
822 535 353
744 442 610
517 464 868
602 399 536
431 779 137
214 260 174
594 105 743
141 349 794
201 198 678
675 18 972
317 795 320
52 513 645
394 843 296
530 706 123
131 90 699
246 839 155
57 32 263
43 83 963
660 724 215
408 78 107
24 472 835
820 777 167
713 814 716
481 173 592
460 364 551
242 861 15
136 707 534
140 682 144
627 357 400
501 49 890
249 514 7
763 356 409
723 687 430
66 28 757
676 384 698
394 218 270
109 526 419
832 659 112
589 227 500
449 864 712
332 784 551
661 256 69
558 818 985
701 506 463
347 2 818
72 549 415
233 806 424
472 689 103
50 690 936
272 601 442
138 514 389
50 348 994
184 59 371
245 131 927
140 195 596
247 118 137
765 265 757
780 688 562
104 232 571
382 9 736
132 739 679
285 460 957
125 667 357
623 475 527
267 763 33
194 547 995
689 714 236
637 243 724
779 350 356
236 697 684
483 203 745
455 855 974
850 796 767
780 400 391
392 767 102
70 412 954
694 840 349
731 721 525
465 600 77
129 46 354
347 409 603
208 3 16
513 520 69
342 162 594
59 748 1000
606 328 355
524 34 620
242 765 394
533 141 246
290 259 300
291 762 445
859 237 258
212 709 216
109 126 719
3 44 666
123 504 210
207 365 894
523 135 202
47 412 66
6 160 207
690 49 572
859 163 762
612 64 690
539 344 598
358 153 470
515 777 457
353 576 95
344 641 355
838 231 500
432 635 153
752 481 508
282 376 312
656 468 595
844 436 72
511 718 615
132 807 614
695 545 562
695 761 803
345 137 94
688 831 472
856 238 974
765 853 113
739 256 898
681 727 970
833 748 27
173 457 704
644 68 131
337 479 377
394 464 517
97 432 884
382 3 109
102 833 494
36 126 793
605 376 913
650 258 134
548 626 850
64 706 639
841 158 343
730 62 702
600 651 374
817 864 169
755 256 353
563 341 43
267 283 920
290 74 132
473 615 352
365 483 979
372 770 595
147 213 740
556 553 744
635 856 121
109 701 441
89 716 652
246 528 192
557 430 855
780 227 733
268 495 543
271 243 814
765 262 560
247 240 435
22 426 939
393 90 997
19 90 170
813 151 544
131 851 706
494 702 353
137 121 790
721 619 829
220 85 751
220 258 72
134 143 263
782 586 607
774 614 637
689 304 983
253 126 338
531 748 636
493 366 293
430 593 960
438 793 50
315 667 866
825 725 52
804 754 86
462 839 386
306 244 688
246 696 961
856 333 363
681 741 800
781 763 960
813 198 784
538 582 873
615 439 444
360 255 473
672 162 378
490 606 735
794 584 322
359 870 921
733 446 330
174 764 534
330 203 917
587 562 362
64 600 496
706 355 937
17 539 995
556 582 851
468 786 948
758 307 567
392 625 372
539 193 965
638 309 735
88 264 311
470 492 795
643 319 814
102 282 238
385 840 138
101 406 589
458 440 649
852 662 387
555 518 689
281 356 136
524 180 749
762 160 970
797 656 888
139 163 164
527 489 393
801 36 489
166 785 948
697 437 633
285 756 192
252 24 802
77 92 358
135 264 495
236 472 543
140 361 1000
781 376 649
201 733 779
460 506 58
502 654 385
543 669 594
440 231 137
70 330 345
568 21 528
839 782 384
678 489 948
651 786 447
668 472 624
303 427 647
417 854 980
728 760 584
326 816 4
416 194 853
639 348 282
364 458 535
391 176 361
821 60 713
709 800 514
377 342 548
37 88 233
372 676 577
512 335 307
259 437 431
741 199 683
589 569 759
869 432 335
438 679 620
176 328 355
353 457 93
453 252 800
172 615 732
854 256 49
146 753 44
809 685 292
172 804 130
681 460 143
356 264 545
657 651 263
164 206 18
157 400 485
204 31 514
826 13 662
717 372 914
360 455 281
103 26 461
50 848 623
802 616 912
471 196 260
490 5 228
386 678 142
187 38 462
66 329 360
115 653 339
283 96 135
535 389 901
335 756 855
689 364 487
843 159 72
578 652 584
744 793 1000
532 695 353
415 512 894
96 82 842
279 654 676
284 654 386
790 207 382
241 136 351
799 301 76
112 699 144
531 583 396
817 178 38
749 19 711
633 442 196
762 206 915
834 322 41
113 372 41
29 31 753
245 181 580
65 576 27
91 23 953
703 390 457
121 623 409
124 466 330
594 800 97
630 90 78
172 36 15
568 784 704
260 102 648
643 171 935
522 143 597
289 38 323
300 428 515
51 634 816
383 818 64
694 334 567
496 333 201
857 122 954
301 643 2
612 25 432
821 148 141
356 215 665
42 653 890
573 96 25
85 165 376
377 691 325
776 845 228
763 731 727
560 31 91
757 163 531
848 77 810
614 382 982
161 89 366
710 66 513
79 171 644
226 380 148
712 229 456
592 427 632
343 160 327
257 258 330
1 319 585
421 796 393
418 313 685
677 424 200
776 468 106
433 865 125
335 850 759
485 689 106
131 611 214
697 95 933
638 192 752
169 610 888
635 615 347
80 211 494
370 495 578
538 809 11
740 624 511
18 590 343
406 105 251
385 77 725
382 66 90
31 598 910
402 547 291
512 736 714
231 619 305
16 632 845
53 476 51
279 508 555
389 491 552
298 697 440
83 379 406
343 219 133
693 520 752
274 726 253
472 574 927
90 576 456
356 409 841
689 339 774
450 833 275
787 146 715
820 858 867
153 239 328
291 518 524
374 745 339
79 467 29
62 140 331
689 517 464
702 28 858
657 161 988
326 599 373
213 306 121
512 589 934
4 833 772
804 50 454
112 671 637
524 202 284
425 5 373
227 857 923
563 134 839
824 347 28
290 543 304
520 833 100
537 82 18
694 442 886
194 193 592
158 92 387
498 82 569
439 583 999
190 838 406
184 701 374
612 719 684
51 828 435
518 286 997
405 465 552
356 526 178
3 104 646
557 700 599
693 783 152
798 290 759
426 118 539
827 61 225
727 575 582
728 384 497
444 499 59
564 706 694
515 467 555
42 593 318
673 154 403
618 469 893
390 842 109
863 63 889
512 686 795
253 709 837
296 742 128
430 500 298
337 159 117
289 268 674
389 374 457
496 822 461
219 300 727
252 835 260
175 601 614
251 338 398
756 7 104
727 468 682
615 646 783
60 197 222
591 519 591
512 714 68
91 100 557
533 520 833
784 67 408
461 185 924
680 476 347
351 441 672
87 439 303
149 779 430
100 739 341
542 207 117
104 139 314
376 380 794
799 564 952
263 547 992
289 342 869
754 267 932
121 723 472
350 494 37
265 796 895
573 339 576
728 150 962
246 475 437
226 636 24
402 799 65
106 622 175
538 489 8
791 70 680
655 323 789
677 176 920
150 255 705
393 373 845
266 507 346
793 845 936
792 500 47
855 802 829
204 806 787
258 77 564
669 22 926
825 806 378
420 526 108
230 654 447
702 24 42
442 140 983
307 823 369
109 288 933
76 203 63
278 176 185
353 732 974
432 124 183
665 109 262
512 773 117
515 139 649
14 126 700
849 628 560
34 461 223
19 532 518
526 764 756
256 598 162
245 491 69
40 125 163
396 577 136
43 15 49
576 177 353
496 287 758
258 280 47
319 839 359
46 79 549
514 65 615
413 109 715
46 22 82
743 685 640
449 793 442
795 563 135
770 667 897
846 474 781
350 163 1
592 405 723
82 683 624
662 612 150
282 122 743
436 301 340
603 789 355
597 801 938
766 148 643
465 778 288
618 384 30
106 132 15
644 648 26
156 359 891
566 126 766
498 290 812
144 98 522
293 449 415
289 696 938
574 666 794
861 633 869
727 590 661
293 334 308
831 27 631
625 177 129
656 589 578
397 547 146
376 655 370
254 378 475
170 299 861
280 39 68
24 832 700
573 546 605
297 560 413
532 334 781
460 823 871
103 108 866
174 62 635
489 70 520
538 145 190
97 694 819
264 846 671
357 215 15
310 176 519
5 366 950
865 188 941
148 542 368
146 669 791
802 73 360
614 797 396
476 23 66
189 750 445
23 817 793
286 523 577
752 830 321
858 384 254
317 471 542
452 580 856
679 186 360
245 677 605
598 707 784
329 337 85
503 274 210
5 383 836
129 860 956
146 134 376
504 360 588
169 342 422
493 77 104
384 644 315
489 416 332
212 568 644
527 631 487
367 538 567
666 437 69
236 295 361
159 183 10
235 62 768
181 98 442
204 748 570
173 679 852
788 803 508
337 532 255
32 827 314
564 153 323
419 297 673
314 513 619
103 563 918
439 128 574
290 7 97
453 634 426
608 367 882
110 588 678
448 186 317
543 529 64
332 561 627
486 144 228
669 96 501
735 210 925
845 574 302
288 624 719
367 457 621
772 289 745
52 546 519
418 343 557
273 743 810
152 818 796
4 564 735
742 462 900
332 416 7
433 14 34
695 307 224
162 193 581
384 297 441
441 798 962
825 371 282
562 836 977
601 155 869
392 582 533
806 580 362
399 100 197
2 34 65
693 303 424
864 182 613
48 754 445
113 659 759
543 205 610
834 668 381
510 734 797
863 521 428
385 846 540
64 582 287
173 279 590
848 267 453
667 47 438
579 800 191
59 671 296
778 44 338
464 540 826
60 743 653
606 865 744
388 786 90
577 311 255
49 226 259
269 835 731
846 478 295
384 266 665
459 248 367
291 376 174
163 194 751
570 86 168
792 683 614
22 514 324
736 260 186
576 832 79
206 748 64
864 193 108
339 245 705
329 111 91
54 687 152
611 399 91
524 338 371
268 763 691
176 499 425
462 142 689
330 818 782
715 257 800
418 734 97
840 263 851
267 26 575
626 300 421
784 469 327
61 864 731
427 405 104
270 834 788
697 792 567
568 527 988
620 716 646
683 818 676
285 190 788
350 215 333
225 191 93
6 407 656
839 677 580
755 169 383
767 322 912
503 700 749
83 160 779
330 301 388
450 773 646
255 116 49
339 458 130
205 233 952
713 575 560
299 473 118
606 400 705
110 42 699
